"away_score","away_team","club_id","club_name","coach","competition_name","home_score","home_team","match_date","match_result_link","match_time","match_type","play_style","result","season"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Watford","29-12-2013","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333118","4:00 PM","23","4-2-3-1","0:0 ","2013"
1,"Doncaster",1039,"QPR","Harry Redknapp","Championship",2,"QPR","01-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333140","4:00 PM","24","4-2-3-1","2:1 ","2013"
3,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Ipswich","11-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333090","4:00 PM","25","4-2-3-1","1:3 ","2013"
1,"Huddersfield",1039,"QPR","Harry Redknapp","Championship",2,"QPR","18-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333108","4:00 PM","26","4-4-2","2:1 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",3,"Sheff Wed","18-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333116","8:45 PM","27","4-2-3-1","3:0 ","2013"
1,"Bolton",1039,"QPR","Harry Redknapp","Championship",2,"QPR","28-01-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333115","8:45 PM","28","4-4-2 double 6","2:1 ","2013"
3,"Burnley",1039,"QPR","Harry Redknapp","Championship",3,"QPR","01-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333164","1:15 PM","29","4-4-2 double 6","3:3 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Derby","10-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333184","8:45 PM","30","4-4-2 double 6","1:0 ","2013"
3,"Reading",1039,"QPR","Harry Redknapp","Championship",1,"QPR","16-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333179","4:30 PM","31","4-4-2 double 6","1:3 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Charlton","22-02-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333185","4:00 PM","32","4-2-3-1","1:0 ","2013"
1,"Leeds",1039,"QPR","Harry Redknapp","Championship",1,"QPR","01-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333204","1:15 PM","33","4-2-3-1","1:1 ","2013"
2,"QPR",1039,"QPR","Harry Redknapp","Championship",0,"Birmingham","08-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333300","4:00 PM","34","4-2-3-1","0:2 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Brighton","11-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333293","8:45 PM","35","4-2-3-1","2:0 ","2013"
0,"Yeovil Town",1039,"QPR","Harry Redknapp","Championship",3,"QPR","15-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333220","4:00 PM","36","4-2-3-1","3:0 ","2013"
3,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Middlesbrough","22-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333216","4:00 PM","37","4-2-3-1","1:3 ","2013"
0,"Wigan",1039,"QPR","Harry Redknapp","Championship",1,"QPR","25-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333040","8:45 PM","38","4-2-3-1","1:0 ","2013"
1,"Blackpool",1039,"QPR","Harry Redknapp","Championship",1,"QPR","29-03-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333043","4:00 PM","39","4-2-3-1","1:1 ","2013"
1,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Bournemouth","05-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333330","4:00 PM","40","4-2-3-1","2:1 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",2,"Blackburn","08-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333321","8:45 PM","41","4-2-3-1","2:0 ","2013"
2,"Nottm Forest",1039,"QPR","Harry Redknapp","Championship",5,"QPR","12-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333390","1:20 PM","42","4-2-3-1","5:2 ","2013"
0,"QPR",1039,"QPR","Harry Redknapp","Championship",1,"Leicester","19-04-2014","https://www.transfermarkt.com/spielbericht/index/spielbericht/2333403","1:15 PM","43","4-2-3-1","1:0 ","2013"
